Name,Height,Weight,Nationality
N. Amiri,180,77,Germany
J. St. Juste,186,76,Netherlands
Vanderson,180,74,Brazil
R. Zerrouki,183,72,Algeria
F. Viviani,180,76,Italy
22 G. Masouras,184,76,Greece
Y. Hamache,177,73,France
Danilo Pereira,188,83,Portugal
22 J. Lukaku,177,86,Belgium
A. Ulmer,175,73,Austria
F. Cervi,165,62,Argentina
M. Caqueret,174,63,France
J. Willems,177,87,Netherlands
Jonny,170,70,Spain
22 F. Lértora,185,79,Argentina
N. Raskin,178,74,Belgium
C. Ferreira,175,69,Argentina
M. Weiser,177,73,Germany
Luis Alberto,183,74,Spain
M. de Ligt,189,89,Netherlands
L. Villalba,177,73,Argentina
A. Solari,176,70,Argentina
J. Silva,179,72,Argentina
Y. Yazıcı,183,74,Turkey
22 R. Alvarado,176,70,Mexico
K. Coman,179,75,France
22 Filipe Augusto,183,77,Brazil
L. Pratto,188,91,Argentina
Pol Lirola,183,70,Spain
L. Dubois,178,65,France
A. Hjulsager,175,72,Denmark
B. Decordova-Reid,170,68,Jamaica
C. Gamboa,175,70,Costa Rica
M. Diemers,175,68,Netherlands
E. Álvarez,187,73,Mexico
D. Turnbull,185,75,Scotland
N. Aké,180,75,Netherlands
G. Simeone,181,81,Argentina
M. Moreno,168,65,Argentina
Y. Maleh,177,74,Morocco
André Gomes,188,84,Portugal
Andrei Girotto,186,79,Brazil
J. Sancho,180,76,England
18 A. Aquilani,186,79,Italy
M. Almirón,174,70,Paraguay
11 Ricardo Conceição,172,72,Brazil
M. Terrier,184,73,France
E. Atuesta,180,71,Colombia
N. Mukiele,187,84,France
Lekue,180,70,Spain
20 Gabriel Barbosa,178,68,Brazil
Willian Arão,181,74,Brazil
Lincoln,178,73,Brazil
M. Lanzini,167,59,Argentina
B. Mbeumo,171,75,Cameroon
D. González,175,75,Paraguay
J. Léa Siliki,183,73,Cameroon
B. Kamara,184,68,France
V. Tsygankov,178,72,Ukraine
22 D. Laxalt,178,71,Uruguay
T. Alderweireld,186,81,Belgium
Pedro Díaz,180,78,Spain
N. Schlotterbeck,191,86,Germany
22 O. Özyakup,180,75,Turkey
22 G. Donsah,174,70,Ghana
G. Busio,170,61,United States
D. Mihailovic,178,69,United States
Q. Laçi,175,67,Albania
J. Ralls,178,70,England
M. Kruse,180,76,Germany
M. Rojo,186,82,Argentina
N. Pépé,183,73,Côte d'Ivoire
Edu Expósito,178,68,Spain
L. Cook,175,71,England
D. Martínez,182,76,Paraguay
22 A. Poli,182,77,Italy
G. Honeyman,173,72,England
T. Foket,177,67,Belgium
P. Berg,178,76,Norway
21 Diego Costa,188,84,Spain
L. Kleinheisler,173,70,Hungary
L. Holtby,176,72,Germany
M. Thuram,192,90,France
S. Bastien,175,75,Congo DR
A. Martial,184,76,France
B. Meling,174,64,Norway
21 M. Duarte,170,67,Colombia
K. Dewsbury-Hall,177,70,England
A. Masuaku,179,70,Congo DR
A. Sambi Lokonga,183,73,Belgium
Manu Morlanes,178,75,Spain
S. Palacios,163,69,Argentina
22 M. Greenwood,181,70,England
F. Frei,183,80,Switzerland
L. Krejčí,190,86,Czech Republic
22 H. Yamaguchi,173,72,Japan
R. Aguilar,172,71,France
A. Maitland-Niles,177,71,England
H. Barnes,180,66,England
Y. Erdoğan,171,68,Turkey
H. Seferović,190,87,Switzerland
L. Castro,182,76,Argentina
N. González,180,72,Argentina
Camarasa,183,77,Spain
Gabriel Paulista,185,72,Brazil
Rafael Leão,188,81,Portugal
Y. Chará,165,68,Colombia
L. Biglia,178,63,Argentina
22 F. Souček,186,77,Czech Republic
A. Carrillo,182,78,Peru
18 M. Carrick,188,74,England
J. Larsen,180,82,Denmark
S. Azmoun,186,78,Iran
R. Barkley,186,76,England
T. Castagne,185,80,Belgium
Reinildo,180,73,Mozambique
J. Gondorf,176,74,Germany
O. Elabdellaoui,179,74,Norway
F. Tudor,173,68,Croatia
D. Benedetto,177,75,Argentina
Matheus Reis,184,80,Brazil
J. Clasie,170,68,Netherlands
L. Fiordilino,177,68,Italy
22 Ayrton,180,72,Brazil
C. Sierra,183,87,Colombia
B. Sosa,187,79,Croatia
R. Fraser,163,70,Scotland
S. Meïté,189,84,France
V. Janelt,184,79,Germany
Danilo,182,74,Brazil
M. Wanitzek,179,74,Germany
H. Wilson,173,70,Wales
Rafa Soares,177,72,Portugal
André Almeida,186,80,Portugal
A. Rusnák,175,73,Slovakia
K. Gameiro,172,70,France
Z. Ibrahimović,195,102,Sweden
22 A Lan,178,64,China PR
A. Hrustić,183,78,Australia
22 D. Fomin,187,78,Russia
A. Bernabei,169,65,Argentina
R. Haps,175,66,Suriname
S. March,180,77,England
O. Norwood,175,69,Northern Ireland
22 I. Brizuela,171,66,Mexico
J. Makengo,177,75,France
O. Kemen,177,76,France
22 R. Oshima,168,64,Japan
22 Xeka,186,83,Portugal
M. Pereira Lage,180,69,Portugal
J. Sánchez,175,71,Mexico
Medrán,178,71,Spain
K. Taylor,182,70,Netherlands
P. De la Vega,177,71,Argentina
F. Novák,184,78,Czech Republic
K. Bellarabi,184,81,Germany
Ivi López,174,70,Spain
S. El Shaarawy,178,73,Italy
Leonardo Lopes,168,61,Portugal
11 L. Núñez,185,75,Argentina
N. Gießelmann,182,75,Germany
M. Akanji,187,91,Switzerland
22 Willian,175,77,Brazil
J. Dasilva,184,75,England
L. Refaelov,175,70,Israel
O. Boscagli,181,68,France
A. Lusamba,180,74,France
J. Stones,188,76,England
L. Martínez Quarta,183,78,Argentina
M. Braithwaite,177,73,Denmark
18 W. Sneijder,170,72,Netherlands
Nico González,188,86,Spain
M. Gradel,175,70,Côte d'Ivoire
Jovane Cabral,174,81,Cape Verde Islands
J. Gbamin,186,83,Côte d'Ivoire
Z. Çelik,180,78,Turkey
M. Viña,181,70,Uruguay
Munir,175,69,Morocco
T. Valls,178,71,France
Kiko Femenía,174,61,Spain
N. Powell,183,65,England
J. Correa,189,75,Argentina
F. Vázquez,187,82,Argentina
V. Rosier,175,75,France
Deulofeu,177,73,Spain
Anuar,174,70,Morocco
O. Edouard,187,83,France
A. Laporte,191,85,Spain
C. Vela,177,77,Mexico
Wellington Sabrão,169,66,Brazil
22 A. Traoré,178,70,Mali
T. Hamed,169,67,Egypt
J. Bamba,175,70,France
M. Ricci,176,68,Italy
A. Chumacero,164,63,Bolivia
T. Reijnders,185,73,Netherlands
N. Bajrami,179,68,Albania
Piqué,194,85,Spain
C. Nørgaard,187,77,Denmark
E. Rigoni,180,70,Argentina
D. Szymański,183,76,Poland
M. Diaby,170,68,France
C. Jones,185,75,England
S. Kolašinac,183,85,Bosnia and Herzegovina
D. Kamada,184,76,Japan
L. Henderson,183,76,Scotland
F. Passlack,172,70,Germany
X. Mercier,174,71,France
Embarba,173,68,Spain
M. Svanberg,185,77,Sweden
R. Leonard,185,82,England
Lucas Pérez,180,73,Spain
K. Stafylidis,178,72,Greece
R. Sessegnon,178,70,England
S. Diop,175,65,France
Aurélio Buta,172,66,Portugal
C. Bernardi,179,72,Argentina
C. Doucouré,180,73,Mali
M. Taremi,186,83,Iran
21 C. Tévez,171,77,Argentina
Borja García,175,72,Spain
A. Trebel,174,72,France
S. Giménez,182,69,Mexico
J. Cullen,175,70,Republic of Ireland
S. Ristovski,180,72,North Macedonia
M. Ilaimaharitra,177,80,Madagascar
Junior Messias,179,70,Brazil
O. Nwobodo,179,72,Nigeria
R. Nteka,189,75,France
22 F. Waller,174,69,Uruguay
A. Campbell,175,74,Scotland
H. Winks,176,65,England
Fran Beltrán,165,64,Spain
B. Dejaegere,174,72,Belgium
L. Trossard,171,67,Belgium
G. Xhaka,185,82,Switzerland
M. Gibbs-White,178,70,England
F. Honorat,180,70,France
E. Akbaba,180,73,Turkey
V. Berisha,175,75,Norway
E. Mena,173,74,Chile
K. Roofe,178,65,Jamaica
F. Ortega,177,75,Argentina
B. Bannan,169,61,Scotland
A. Najar,171,68,Honduras
22 A. Mozo,175,75,Mexico
João Mário,179,66,Portugal
22 G. Galoppo,179,73,Argentina
J. Maclaren,179,76,Australia
E. Insúa,180,79,Argentina
22 A. Oyongo,176,70,Cameroon
17 D. Drogba,189,80,Côte d'Ivoire
Raúl Guti,177,74,Spain
T. Cairney,186,84,Scotland
B. Soumaré,188,82,France
J. McArthur,178,66,Scotland
Rafa Mir,191,86,Spain
Pedro Rebocho,172,66,Portugal
A. Nyom,189,80,Cameroon
Lee Chang Min,179,77,Korea Republic
L. Suárez,185,74,Colombia
22 E. Sánchez,167,71,Mexico
M. Mittelstädt,180,71,Germany
L. Görtler,186,80,Germany
C. Pulisic,177,69,United States
L. Boyé,183,79,Argentina
A. Vranckx,183,78,Belgium
16 S. Keita,183,75,Mali
D. James,171,76,Wales
G. Kakuta,173,72,Congo DR
D. McNeil,183,70,England
Zeca,182,67,Greece
G. Hauche,168,71,Argentina
N. Matić,194,83,Serbia
A. Velasco,167,63,Argentina
E. Džeko,193,80,Bosnia and Herzegovina
22 D. de Buen,182,79,Mexico
Pep Biel,167,64,Spain
F. Carballo,177,73,Uruguay
P. Diop,179,77,Senegal
Paulinho,177,71,Brazil
22 Y. El Arabi,182,84,Morocco
B. Mensah,180,65,Ghana
M. Bulat,178,68,Croatia
S. Berge,195,96,Norway
E. Copetti,180,88,Argentina
B. Henrichs,185,79,Germany
G. Piovi,180,72,Argentina
D. Foulquier,183,78,France
J. Bruun Larsen,183,77,Denmark
Paco Alcácer,175,70,Spain
R. Echeverría,180,77,Chile
J. Mæhle,185,79,Denmark
C. Deac,177,74,Romania
L. Cacace,184,81,New Zealand
22 G. Dzhikiya,188,86,Russia
B. Traoré,181,73,Burkina Faso
O. Ighalo,185,80,Nigeria
G. Maggiore,184,69,Italy
F. Centonze,182,75,France
O. Duda,181,75,Slovakia
R. Vargas,179,68,Switzerland
H. Reed,175,72,England
M. Degenek,187,82,Australia
Héctor Bellerín,178,74,Spain
K. Imeri,173,73,Switzerland
J. Timber,179,77,Netherlands
Rodrygo,174,64,Brazil
22 Adrián González,184,75,Spain
Romarinho,174,69,Brazil
Paulinho,187,88,Portugal
M. Castagnetti,180,71,Italy
M. Fares,183,72,Algeria
K. Mbabu,184,83,Switzerland
R. Ruidíaz,169,66,Peru
M. Jajalo,182,78,Bosnia and Herzegovina
J. McClean,180,70,Republic of Ireland
U. Matić,184,78,Serbia
K. Naismith,185,78,Scotland
G. Trauner,183,82,Austria
S. Ricci,178,72,Italy
A. Varela,177,73,Argentina
12 Tcheco,180,74,Brazil
J. Quintero,168,67,Colombia
J. Greguš,189,79,Slovakia
B. Santamaria,183,73,France
Luiz Gustavo,187,78,Brazil
Vitolo,185,79,Spain
F. Sotoca,187,77,France
J. de Guzmán,173,70,Netherlands
B. Osayi-Samuel,175,74,Nigeria
M. Ginter,191,86,Germany
K. Diatta,175,69,Senegal
Mariano,180,76,Dominican Republic
22 C. Kouyaté,189,83,Senegal
J. Ortiz,177,70,Ecuador
Óliver Torres,175,70,Spain
A. Moreno,178,74,Argentina
P. Kalulu,184,69,France
Iago,181,67,Brazil
Carlinhos,179,74,Brazil
G. Lovrencsics,177,75,Hungary
K. Thorstvedt,189,84,Norway
C. Wilson,180,66,England
E. Ndicka,192,82,France
A. Morelos,177,79,Colombia
S. Haller,190,82,Côte d'Ivoire
21 A. Robben,180,80,Netherlands
M. Ritzmaier,181,79,Austria
22 N. Vukčević,184,76,Montenegro
B. Dack,173,71,England
L. Bonucci,190,85,Italy
22 E. Boateng,175,70,Ghana
L. Quiñonez,180,76,Ecuador
R. Gagliardini,188,77,Italy
F. Farías,171,69,Argentina
J. Wallace,178,70,England
E. Forsberg,177,76,Sweden
Isi,169,71,Spain
H. Mukhtar,173,71,Germany
J. Harrison,175,70,England
A. Hutchinson,187,83,Canada
M. Rashica,177,73,Kosovo
V. Lindelöf,187,80,Sweden
O. Aina,184,82,Nigeria
22 B. Zaynutdinov,185,75,Kazakhstan
Junior Firpo,184,78,Spain
D. Ndong,180,75,Gabon
22 R. Thomas,174,64,New Zealand
M. Cuisance,181,74,France
M. Marega,184,94,Mali
C. Puertas,178,77,Switzerland
T. Davies,180,70,England
A. Vega,173,77,Mexico
P. Mpanzu,175,74,Congo DR
18 T. Motta,188,82,Italy
W. Khazri,176,82,Tunisia
18 P. Evra,174,75,France
M. Malsa,178,69,France
P. Kimpembe,189,80,France
A. Townsend,175,73,England
22 L. Rupp,178,73,Germany
A. Tello,180,80,Colombia
Aguado,175,71,Spain
M. Stevanović,180,72,Bosnia and Herzegovina
16 Willian,171,78,Brazil
E. Mas,180,81,Argentina
J. Brekalo,175,70,Croatia
M. Rojas,186,78,Paraguay
M. Ugarte,182,77,Uruguay
21 Pablo Hernández,173,66,Spain
José Callejón,178,73,Spain
A. Zorgane,184,81,Algeria
A. Wan-Bissaka,183,72,England
J. Burkardt,181,79,Germany
22 L. Fernández,166,66,Uruguay
P. Bamford,185,71,England
V. Castellanos,178,74,Argentina
N. Rovella,179,70,Italy
20 M. Ekici,180,76,Turkey
Matheus Pereira,176,80,Brazil
D. da Costa,187,87,Germany
M. Eggestein,181,75,Germany
22 João Pedro,177,69,Portugal
21 J. Mascherano,174,73,Argentina
J. Fuchs,176,70,Cameroon
N. Colazo,175,71,Argentina
D. Udogie,186,67,Italy
T. Minamino,174,67,Japan
Cadu,171,70,Brazil
J. Pinola,180,79,Argentina
B. Petković,193,88,Croatia
T. Mohr,183,78,Germany
K. Olsson,181,69,Sweden
Y. Sugawara,178,68,Japan
E. Bohinen,189,81,Norway
22 F. Grillitsch,187,77,Austria
K. Strootman,186,78,Netherlands
22 O. Govea,174,74,Mexico
A. Armstrong,172,69,England
22 F. Belluschi,173,78,Argentina
Kévin Rodrigues,170,70,Portugal
D. Batallini,176,77,Argentina
F. Guilbert,178,78,France
M. Ullmann,180,65,Austria
F. Borini,180,73,Italy
14 R. Giggs,179,71,Wales
A. Belotti,181,84,Italy
Bebé,190,83,Cape Verde Islands
M. Elneny,179,72,Egypt
M. Meyer,173,67,Germany
D. Bouanga,180,71,Gabon
15 D. Forlán,180,78,Uruguay
E. Eze,178,67,England
D. Calvert-Lewin,187,71,England
T. Adams,175,72,United States
19 K. Konaté,177,75,Côte d'Ivoire
22 O. Al Somah,190,86,Syria
J. Howson,180,77,England
G. Gudmundsson,181,72,Sweden
22 J. Carrascal,180,75,Colombia
Aleix García,173,68,Spain
G. Shibasaki,174,68,Japan
H. Morita,177,69,Japan
R. Holzhauser,192,84,Austria
L. Barreiro Martins,174,68,Luxembourg
F. Onyeka,183,70,Nigeria
J. Gressel,185,84,Germany
D. Johnson,174,67,Jamaica
Y. Kubo,178,73,Japan
O. Mangala,178,80,Belgium
P. Schuurs,191,79,Netherlands
J. Allen,168,62,Wales
22 J. Montecinos,170,69,Chile
J. Berget,186,81,Norway
V. Claesson,183,79,Sweden
M. Olise,178,68,France
C. Adams,178,70,Scotland
O. El Kaddouri,185,74,Morocco
Wu Lei,174,66,China PR
V. Wanyama,188,79,Kenya
Hwang Ui Jo,185,82,Korea Republic
R. Rojas,176,75,Paraguay
L. Coulibaly,183,77,Mali
22 Y. Moreno,182,82,Colombia
W. Singo,190,79,Côte d'Ivoire
D. Rubio,180,77,Chile
D. Sorescu,176,72,Romania
J. Buffarini,170,74,Argentina
22 M. Káčer,172,75,Slovakia
Joaquín,179,75,Spain
I. Mathew,173,70,Nigeria
Brais Méndez,187,76,Spain
22 Sebá,182,73,Brazil
Jony,179,71,Spain
J. Onana,187,90,Cameroon
A. Boupendza,180,79,Gabon
M. Damsgaard,180,71,Denmark
Alex Muñoz,187,80,Spain
22 N. De Préville,178,78,France
L. Geertruida,185,73,Netherlands
22 J. Sierra,169,67,Ecuador
Luíz Carlos,175,65,Brazil
L. Nmecha,185,80,Germany
C. Kouan Oulaï,178,74,Côte d'Ivoire
20 S. Lichtsteiner,182,76,Switzerland
V. Korniienko,175,70,Ukraine
K. Onisiwo,188,88,Austria
E. Díaz,175,74,Argentina
J. Murphy,179,74,England
R. Hollingshead,185,82,United States
22 R. Sigurjónsson,178,83,Iceland
Éderson,183,86,Brazil
22 Everton,174,72,Brazil
L. Négo,181,71,Hungary
L. Godoy,173,70,Argentina
B. Aaronson,176,66,United States
N. Clyne,175,67,England
Q. Timber,179,71,Netherlands
S. Corchia,175,67,France
Salva Sevilla,178,71,Spain
D. Louiserre,172,63,France
M. Olsson,180,78,Sweden
Wilson Manafá,175,72,Portugal
William Carvalho,187,79,Portugal
R. Bertrand,179,85,England
A. Bobichon,178,75,France
J. Foyth,187,69,Argentina
Adama Traoré,178,86,Spain
A. Hložek,188,74,Czech Republic
R. Kent,172,65,England
J. Boëtius,179,73,Netherlands
T. Roberts,178,82,Zimbabwe
L. Amani,172,64,Côte d'Ivoire
G. Bou,175,72,Argentina
19 J. Louis,171,74,Haiti
J. King,184,82,Norway
B. Whiteman,185,68,England
J. Irvine,189,70,Australia
M. Grimes,179,70,England
D. Zapata,189,88,Colombia
O. Giroud,192,93,France
R. Orsolini,183,73,Italy
F. Díaz,176,69,Uruguay
M. Name,183,73,Senegal
B. Yılmaz,188,77,Turkey
O. Kukoč,174,61,England
22 Fei Nanduo,174,65,China PR
N. Maupay,173,69,France
A. Yusuf,173,66,Nigeria
Dani García,180,81,Spain
T. Cleverley,175,67,England
J. Kuchta,185,80,Czech Republic
L. Blessing,160,64,Ghana
Kim Tae Hwan,177,72,Korea Republic
T. Abraham,195,86,England
Thierry Correia,176,69,Portugal
Nani,177,72,Portugal
N. Estévez,181,77,Argentina
J. Larsson,175,68,Sweden
A. Smith,180,78,England
Matheus Henrique,175,71,Brazil
Zarraga,175,76,Spain
Álex Baena,174,69,Spain
R. Lod,181,82,Finland
Morata,190,84,Spain
C. Hudson-Odoi,177,79,England
Carles Gil,170,65,Spain
A. Ekdal,186,82,Sweden
V. Aboubakar,184,82,Cameroon
E. Ünal,187,78,Turkey
Ji Xiang,185,75,China PR
E. Dennis,175,66,Nigeria
22 H. Behrens,188,82,Germany
J. Koundé,181,75,France
O. Shukurov,183,77,Uzbekistan
17 M. Essien,177,85,Ghana
P. Piatti,163,63,Argentina
R. Yaremchuk,193,83,Ukraine
22 Fidalgo,172,70,Spain
C. Cásseres Jr,175,68,Venezuela
R. Žulj,189,89,Austria
C. Lykogiannis,190,87,Greece
M. Wöber,189,82,Austria
19 S. Tshabalala,170,65,South Africa
16 Mayke,178,68,Brazil
Óscar Gil,173,70,Spain
Cafú,185,82,Portugal
D. Undav,178,86,Germany
K. Laifis,186,84,Cyprus
12 Raúl,180,68,Spain
A. Milik,186,80,Poland
Miranda,185,79,Spain
R. Hatate,171,70,Japan
A. Alvarado,165,69,Ecuador
J. Ferreira,173,64,United States
H. Maguire,194,100,England
T. Monare,178,73,South Africa
J. Dina Ebimbe,183,81,France
S. Al Ghannam,170,62,Saudi Arabia
T. Xhaka,172,72,Albania
14 J. Park,178,73,Korea Republic
Aihen Muñoz,175,68,Spain
K. Jakić,181,75,Croatia
V. Pavlidis,185,82,Greece
J. Boga,172,68,Côte d'Ivoire
D. Díaz,174,67,Ecuador
S. Becker,180,77,Suriname
K. Iheanacho,185,82,Nigeria
L. O'Brien,173,63,England
A. Forshaw,174,71,England
22 A. Sutormin,188,79,Russia
A. Truffert,173,63,France
A. Trondsen,183,78,Norway
D. Brooks,180,62,Wales
S. Bendebka,181,72,Algeria
21 D. Mbokani,185,73,Congo DR
Jorge Miramón,175,74,Spain
Borja Iglesias,187,86,Spain
F. Pardo,178,81,Colombia
G. Reyna,185,79,United States
T. Wiesner,176,72,Czech Republic
Rafael Tolói,185,75,Italy
22 I. Reyes,179,73,Mexico
I. Balliu,174,65,Albania
G. Hachen,168,65,Argentina
Vágner Corraldo,175,70,Brazil
M. Zárate,175,77,Argentina
Moreto Cassamá,165,63,Guinea Bissau
Benito,179,70,Spain
20 K. Honda,182,74,Japan
F. Mladenović,180,64,Serbia
J. Osorio,175,68,Canada
22 Diego Rigonato,175,76,Brazil
P. Stojanović,178,72,Slovenia
A. Ademi,185,79,North Macedonia
De Frutos,176,71,Spain
22 N. Domínguez,183,71,Argentina
C. Coady,186,80,England
C. Bassogog,173,72,Cameroon
J. Reine-Adélaïde,184,75,France
Pozo,171,67,Spain
Sergi Canós,175,66,Spain
A. Yarmolenko,189,76,Ukraine
Walace,188,75,Brazil
Cucho Hernández,176,73,Colombia
22 D. Rolán,175,70,Uruguay
21 Y. Aït Bennasser,184,74,Morocco
22 A. Ljajić,182,80,Serbia
André Ramalho,182,78,Brazil
P. Mpoku,180,79,Congo DR
Diego Carlos,185,86,Brazil
22 P. Aquino,175,74,Peru
W. Hughes,185,74,England
22 L. Quiñones,178,66,Colombia
K. Mitoma,178,71,Japan
J. Gouweleeuw,188,83,Netherlands
A. Souquet,179,74,France
Gil Dias,184,78,Portugal
22 Iniesta,171,68,Spain
I. Marcone,182,79,Argentina
Ander Guevara,180,73,Spain
A. Hassan,186,81,Qatar
22 D. Didavi,180,77,Germany
H. Vetlesen,174,72,Norway
22 D. Kaiser,171,69,Germany
22 M. Stiepermann,190,86,Germany
Choi Young Joon,181,76,Korea Republic
22 R. Ibarra,175,76,Ecuador
J. Cifuentes,173,70,Ecuador
Y. Ayoub,174,70,Morocco
J. Guilavogui,188,77,France
22 Tomás Pina,184,78,Spain
M. Henriksen,187,85,Norway
A. Saint-Maximin,173,67,France
N. Mendy,167,73,Senegal
I. Sissoko,193,90,France
S. Horvath,168,60,Austria
Melendo,167,63,Spain
L. Jović,182,85,Serbia
Gabriel Martinelli,178,75,Brazil
22 Coke,177,74,Spain
H. Martín,177,83,Mexico
P. Estupiñán,175,78,Ecuador
Bruma,173,70,Portugal
19 S. Muntari,179,76,Ghana
L. Štulac,175,70,Slovenia
J. Hendrix,181,75,Netherlands
D. Odoi,178,75,Ghana
Z. Youssouf,182,81,France
C. Baumgartner,180,73,Austria
Álex Pozo,173,62,Spain
G. Plata,178,65,Ecuador
Á. Romero,181,73,Peru
L. Sučić,185,71,Croatia
E. Tapsoba,194,85,Burkina Faso
D. Valoyes,181,76,Colombia
18 B. Pedretti,178,72,France
M. Esquivel,167,64,Argentina
Arturo Inálcio,170,60,Brazil
J. Cajuste,188,77,Sweden
J. Andersson,178,68,Sweden
D. Pelkas,175,69,Greece
Ansu Fati,178,66,Spain
E. Rakip,178,71,North Macedonia
22 G. Pizarro,185,78,Argentina
B. Schmitz,182,75,Germany
S. Longstaff,180,65,England
L. Leahy,178,73,England
Pablo Maffeo,172,70,Spain
20 Thiago Maia,179,79,Brazil
M. Caicedo,178,71,Ecuador
22 D. Santon,187,77,Italy
14 V. Weiss,173,71,Slovakia
M. Simon,168,69,Nigeria
S. Koita,173,67,Mali
Pedro,169,65,Spain
R. Manning,173,72,Republic of Ireland
Balenziaga,177,77,Spain
J. David,180,77,Canada
D. Vlahović,190,75,Serbia
Cesinha,177,74,Brazil
J. Garner,182,80,England
B. Douglas,176,70,Scotland
22 A. Januzaj,186,75,Belgium
Claudio Coíntra,174,71,Brazil
A. Weimann,178,76,Austria
N. Fagioli,178,72,Italy
22 Pedro León,183,73,Spain
D. Jones,180,75,United States
21 Zizo,174,67,Egypt
19 J. Morrison,178,64,Scotland
A. Jahanbakhsh,180,78,Iran
K. Vogt,194,87,Germany
T. Krauß,182,72,Germany
G. Docherty,177,72,Scotland
G. Pezzella,187,81,Italy
S. Verdi,174,72,Italy
J. Allen,170,66,England
A. Ndiaye,173,70,Senegal
Óscar,174,68,Spain
S. Benrahma,172,67,Algeria
Rúben Vinagre,174,71,Portugal
21 Y. Öztekin,179,70,Turkey
Moncayola,189,86,Spain
A. Vigo,175,74,Argentina
S. Jovetić,183,79,Montenegro
R. Varane,191,81,France
18 G. Kačar,185,84,Serbia
J. Chotard,179,70,France
M. Targett,183,70,England
N. Fernández Mercau,172,66,Argentina
A. Skov Olsen,188,75,Denmark
M. Moralez,158,56,Argentina
J. Cork,184,75,England
R. Fredericks,181,74,England
Hong Chul,176,70,Korea Republic
C. Chambers,182,77,England
M. Philipp,183,79,Germany
N. Casale,191,80,Italy
M. Anderson,180,69,Iceland
18 B. Ruíz,188,78,Costa Rica
22 E. Dasa,170,62,Israel
Serginho,189,85,Brazil
L. Morgan,178,75,Scotland
J. Holland,182,76,Australia
G. Konan,176,71,Côte d'Ivoire
D. Maeda,173,68,Japan
L. Fomba,188,68,France
O. Doumbia,175,70,Côte d'Ivoire
Á. Nagy,178,70,Hungary
A. Touré,183,81,Mali
S. Moore,180,74,United States
P. Förster,188,82,Germany
E. Meza,175,72,Argentina
Suso,176,70,Spain
L. Bénes,181,72,Slovakia
J. Riedewald,182,79,Netherlands
M. Leckie,181,82,Australia
L. Acosta,161,59,Argentina
Luimo Boas Santos,176,73,Brazil
P. Tachtsidis,191,86,Greece
22 F. Caicedo,183,82,Ecuador
19 Luis García,178,65,Spain
A. Ralston,183,78,Scotland
M. Ojeda,179,78,Argentina
Luiz Araújo,175,70,Brazil
M. Rog,180,73,Croatia
B. Ocampo,175,74,Uruguay
Juanmi,172,69,Spain
G. Þórarinsson,183,75,Iceland
David Neres,176,71,Brazil
M. Andersen,175,64,Denmark
L. de Jong,188,86,Netherlands
L. Janson,171,67,Argentina
Akapo,179,70,Equatorial Guinea
D. Lopy,184,79,Senegal
M. Risse,183,75,Germany
R. Araujo,192,91,Uruguay
J. Narváez,181,79,Colombia
A. Isak,192,77,Sweden
I. Slimani,188,83,Algeria
Carlos Júnior,176,75,Brazil
G. Scamacca,195,85,Italy
A. Voglsammer,178,83,Germany
22 A. Zakharyan,183,72,Russia
S. Adegbenro,178,75,Nigeria
G. Caprari,176,72,Italy
T. Lawrence,180,75,Wales
K. Laribi,175,67,Tunisia
Montoro,181,72,Spain
Adriano Bisesi,188,83,Brazil
S. Guirassy,187,82,France
M. Corozo,177,79,Ecuador
R. Del Castillo,172,65,France
X. Simons,168,58,Netherlands
A. Musrati,189,83,Libya
K. Sema,180,69,Sweden
C. Alcaraz,176,70,Argentina
C. Ünder,173,66,Turkey
L. Klostermann,189,88,Germany
P. Wimmer,182,77,Austria
B. Bereszyński,183,77,Poland
Juan Villar,182,72,Spain
E. Rexhbeçaj,182,73,Kosovo
Yeray,182,79,Spain
